"Reset Password";"Reset Password"
"Modify";"Modify"
"Languages";"Languages"
"Edit Object";"Edit Object"
"Delete Object";"Delete Object"
"Remove Object";"Remove Object"
"Reset Form";"Reset Form"
"Visit Website";"Visit Website"
"Visit website of {{ siteName }}";"Visit website of {{ siteName }}"
"Back to website";"Back to website"
"Back to {{ siteName }}";"Back to {{ siteName }}"
"Welcome";"Welcome"
"Account Management";"Account Management"
"Test SMS";"Test SMS"
"Test Voice Messages";"Test Voice Messages"
"Help";"Help"
"Previous Page";"Previous Page"
"Next Page";"Next Page"
"Cancel";"Cancel"
"Proceed";"Proceed"
"Continue";"Continue"
"Search…";"Search…"
"Clear Results";"Clear Results"
"Toggle Dropdown";"Toggle Dropdown"
"List Type";"List Type"
"List File";"List File"
"Group";"Group"
"None";"None"
"New";"New"
"Default Language";"Default Language"
"Import List";"Import List"
"Error";"Error"
"Denied";"Denied"
"N/A";"N/A"
"Allowed";"Allowed"
"Revision #";"Revision #"
"Date";"Date"
"Author";"Author"
"Changeset";"Changeset"
"Options";"Options"
"Deprecated";"Deprecated"
"Restore";"Restore"
"Restore This Revision";"Restore This Revision"
"No history of changes";"No history of changes"
"Are you sure you want to restore this revision?";"Are you sure you want to restore this revision?"
"Any changes made since this revision will be canceled.";"Any changes made since this revision will be canceled."
"Error:";"Error:"
"Unable to revert to the revision.";"Unable to revert to the revision."
"No Template Options.";"No Template Options."
"Redirecting…";"Redirecting…"
"Loading…";"Loading…"
"Loading Widget…";"Loading Widget…"
"Errors:";"Errors:"
"No objects have been created yet.";"No objects have been created yet."
"No objects have been created yet for ""{{ objType }}"".";"No objects have been created yet for ""{{ objType }}""."
"No objects found for ""{{ objType }}"".";"No objects found for ""{{ objType }}""."
"Add New Object";"Add New Object"
"Page: {{ page }} / {{ numPages }} ({{ numTotal }} in total)";"Page: {{ page }} / {{ numPages }} ({{ numTotal }} in total)"
"{{ numTotal }} in total";"{{ numTotal }} in total"
"Actions";"Actions"
"Authentication Successful";"Authentication Successful"
"Authentication Failed";"Authentication Failed"
"You have logged in successfully.";"You have logged in successfully."
"You will be redirected soon.";"You will be redirected soon."
"If not, click <a href=""[[ url ]]"">here</a>.";"If not, click <a href=""[[ url ]]"">here</a>."
"An error occurred while logging in";"An error occurred while logging in"
"{{ errorMessage }}: {{ errorThrown }}";"{{ errorMessage }}: {{ errorThrown }}"
"[[ errorMessage ]]: [[ errorThrown ]]";"[[ errorMessage ]]: [[ errorThrown ]]"
"Invalid object type or ID";"Invalid object type or ID"
"Invalid email or password";"Invalid email or password"
"You are now logged out.";"You are now logged out."
"An error occurred while logging out";"An error occurred while logging out"
"Missing email.";"Missing email."
"Missing CAPTCHA response.";"Missing CAPTCHA response."
"Invalid or malformed CAPTCHA response.";"Invalid or malformed CAPTCHA response."
"If a registered user matches the given email address, instructions to reset your password will be sent to the email address registered with that account.";"If a registered user matches the given email address, instructions to reset your password will be sent to the email address registered with that account."
"Check your email for instructions to reset your password.";"Check your email for instructions to reset your password."
"An error occurred while processing the password reset request.";"An error occurred while processing the password reset request."
"{{ siteName }} — Password Reset";"{{ siteName }} — Password Reset"
"Charcoal — Password Reset";"Charcoal — Password Reset"
"Missing reset token.";"Missing reset token."
"Missing password";"Missing password"
"Missing password confirmation";"Missing password confirmation"
"Passwords do not match";"Passwords do not match"
"An error occurred while processing the password change.";"An error occurred while processing the password change."
"Your password reset token is invalid or expired.";"Your password reset token is invalid or expired."
"Please request a new token below.";"Please request a new token below."
"Password has been successfully changed.";"Password has been successfully changed."
"Your password has been successfully changed.";"Your password has been successfully changed."
"Failed to delete object";"Failed to delete object"
"Failed to remove object";"Failed to remove object"
"{{ parameter }} required, must be a {{ expectedType }}, received {{ actualType }}";"{{ parameter }} required, must be a {{ expectedType }}, received {{ actualType }}"
"{{ parameter }} must be a {{ expectedType }}, received {{ actualType }}";"{{ parameter }} must be a {{ expectedType }}, received {{ actualType }}"
"No object found.";"No object found."
"Object permanently deleted.";"Object permanently deleted."
"Deleted Object: {{ objId }}";"Deleted Object: {{ objId }}"
"Failed to export object(s)";"Failed to export object(s)"
"Failed to load object(s)";"Failed to load object(s)"
"No objects found.";"No objects found."
"One object found.";"One object found."
"{{ count }} objects found.";"{{ count }} objects found."
"Failed to sort object(s)";"Failed to sort object(s)"
"Missing ""{{ propIdent }}"" property for sorting on {{ objType }}";"Missing ""{{ propIdent }}"" property for sorting on {{ objType }}"
"Object has been successfully updated.";"Object has been successfully updated."
"Objects have been successfully reordered.";"Objects have been successfully reordered."
"Failed to restore revision";"Failed to restore revision"
"Object has been successfully restored to revision from {{ revisionDate }}";"Object has been successfully restored to revision from {{ revisionDate }}"
"Restored Revision: {{ revisionNum }}";"Restored Revision: {{ revisionNum }}"
"Reverted Object: {{ objId }}";"Reverted Object: {{ objId }}"
"Failed to create object";"Failed to create object"
"Invalid Data";"Invalid Data"
"Object has been successfully created.";"Object has been successfully created."
"Created Object: {{ objId }}";"Created Object: {{ objId }}"
"Failed to update object";"Failed to update object"
"Updated Object: {{ objId }}";"Updated Object: {{ objId }}"
"Failed to reload widget";"Failed to reload widget"
"Failed to load widget";"Failed to load widget"
"Widget Reloaded";"Widget Reloaded"
"Widget Loaded";"Widget Loaded"
"Failed to load quick edit";"Failed to load quick edit"
"Widgets Loaded";"Widgets Loaded"
"— None —";"— None —"
"File Manager";"File Manager"
"Media Library";"Media Library"
"Choose file…";"Choose file…"
"Choose files…";"Choose files…"
"Choose image…";"Choose image…"
"Choose images…";"Choose images…"
"Clear selected file";"Clear selected file"
"Clear selected files";"Clear selected files"
"Library";"Library"
"filesystem.volume.default";"Library"
"filesystem.volume.library";"Library"
"filesystem.volume.storage";"Storage"
"filesystem.volume.uploads";"Public"
"filesystem.volume.public";"Public"
"filesystem.volume.private";"Private"
"Support";"Support"
"Database table created for ""{{ objType }}"".";"Database table created for ""{{ objType }}""."
"Collection: {{ objType }}";"Collection: {{ objType }}"
"Edit: {{ objType }} #{{ id }}";"Edit: {{ objType }} #{{ id }}"
"Create: {{ objType }} from ID ""%s""";"Create: {{ objType }} from ID ""%s"""
"Create: {{ objType }}";"Create: {{ objType }}"
"Administrators";"Administrators"
"Save";"Save"
"Map";"Map"
"Update";"Update"
"Success";"Success"
"Notice";"Notice"
"Information";"Information"
"Attention";"Attention"
"Confirmation";"Confirmation"
"Unknown Error";"Unknown Error"
"An error occurred";"An error occurred"
"Objects list navigation";"Objects list navigation"
"Dismiss this notice.";"Dismiss this notice."
"Dismiss Errors";"Dismiss Errors"
"Dismiss";"Dismiss"
"Are you sure you want to do this?";"Are you sure you want to do this?"
"This operation cannot be undone.";"This operation cannot be undone."
"Yes";"Yes"
"No";"No"
"Quick Create";"Quick Create"
"Quick Edit";"Quick Edit"
"Next";"Next"
"Finish";"Finish"
"Step [[ current ]] of [[ total ]]";"Step [[ current ]] of [[ total ]]"
"time.year";"1 year|{{ count }} years"
"time.month";"1 month|{{ count }} months"
"time.week";"1 week|{{ count }} weeks"
"time.day";"1 day|{{ count }} days"
"time.hour";"1 hour|{{ count }} hours"
"time.minute";"1 minute|{{ count }} minutes"
"time.second";"1 second|{{ count }} seconds"
"time.ago";"{{ time }} ago"
"time.from_now";"{{ time }} from now"
"time.after";"{{ time }} after"
"time.before";"{{ time }} before"
"Last updated";"Last updated"
