"Date:";"Date :"
"Reset";"Réinitialiser"
"Address";"Adresse"
"Search";"Rechercher"
"Add Location";"Ajouter un emplacement"
"Move up the selected options from the right side";"Déplacer vers le haut les options sélectionnées du côté droit"
"Move down the selected options from the right side";"Déplacer vers le bas les options sélectionnées du côté droit"
"Undo the last action";"Annuler la dernière action"
"Undo";"Annuler"
"Move all options from left to right";"Déplacer toutes les options de gauche à droite"
"Move selected options from left to right";"Déplacer les options sélectionnées de gauche à droite"
"Move selected options from right to left";"Déplacer les options sélectionnées de droite à gauche"
"Move all options from right to left";"Déplacer toutes les options de droite à gauche"
"Redo the last action";"Rétablir la dernière action"
"Redo";"Rétablir"
"Copy To Clipboard";"Copier dans le presse-papier"
"elFinder File Manager";"Gestionnaire de fichiers elFinder"
"Need Help?";"Besoin d'aide ?"
"For any questions about the use of this service, please do not hesitate to contact <a href=""mailto:charcoal@locomotive.ca"">charcoal@locomotive.ca</a>.";"Pour toutes questions à propos de l'utilisation de ce service, n'hésitez pas à communiquer avec <a href=""mailto:charcoal@locomotive.ca"">charcoal@locomotive.ca</a>."
"Charcoal is operated by <a href=""https://locomotive.ca"">Locomotive</a>, a Web agency based in Montréal.";"Charcoal est opéré par <a href=""https://locomotive.ca"">Locomotive</a>, une agence Web de Montréal."
"Memo";" the alerts system";" is propulsed by <em>Charcoal</em>.";"Memo";" le système d'alerte";" est propulsé par <em>Charcoal</em>."
"?";"?"
"Username";"Identifiant"
"Password";"Mot de passe"
"Remember Me";"Se souvenir de moi"
"Log In";"Se connecter"
"Lost your password?";"Mot de passe oublié ?"
"Logged Out";"Déconnexion"
"You have safely logged out from Charcoal.";"Votre déconnexion de Charcoal à été effectuée en toute sécurité."
"Log In Again";"Se reconnecter"
"Lost Password";"Mot de passe oublié"
"Please enter your username or email address.";"Veuillez saisir votre identifiant ou votre adresse courriel."
"You will receive an email containing a link to create a new password.";"Un lien permettant de créer un nouveau mot de passe vous sera envoyé par courriel."
"Username or Email Address";"Identifiant ou adresse courriel"
"Get Reset Link";"Envoyer un lien de réinitialisation"
"Already received a token by email?";"Vous avez déjà reçu une clé par courriel ?"
"Password Reset";"Réinitialisation du mot de passe"
"Enter the reset token you have received via email";" your username or email address";" and your new password.";"Entrez le clé de réinitialisation que vous avez reçu par courriel";" votre identifiant ou votre adresse courriel";" et votre nouveau mot de passe."
"Password Reset Token";"Clé de réinitialisation"
"Token (received by email)";"Clé (reçu par courriel)"
"Get new password reset token";"Générer une nouvelle clé de réinitialisation"
"New Password";"Nouveau mot de passe"
"Confirm New Password";"Confirmer le nouveau mot de passe"
"Reset Password";"Réinitialiser le mot de passe"
"Modify";"Modifier"
"Languages";"Langages"
"Edit Object";"Modifier l'objet"
"Delete Object";"Supprimer l'objet"
"Remove Object";"Supprimer l'objet"
"Reset Form";"Réinitialiser le formulaire"
"Visit Site";"Aller sur le site"
"Welcome";"Bienvenue"
"Log Out";"Se déconnecter"
"Account Management";"Gestion de compte"
"Test SMS";"Tester les SMS"
"Test Voice Messages";"Tester les messages vocaux"
"Help";"Aide"
"Previous Page";"Page précédente"
"Next Page";"Page suivante"
"Cancel";"Annuler"
"Proceed";"Continuer"
"Continue";"Continuer"
"Search…";"Recherche…"
"Clear Results";"Effacer les résultats"
"Toggle Dropdown";"Basculer le menu déroulant"
"List Type";"Type de liste"
"List File";"Fichier de liste"
"Group";"Groupe"
"None";"Aucun"
"New";"Nouveau"
"Default Language";"Langage par défaut"
"Import List";"Importer la liste"
"Error";"Erreur"
"Denied";"Refusé"
"N/A";"N/A"
"Allowed";"Permis"
"Revision #";"# de révision"
"Date";"Date"
"Author";"Auteur"
"Changeset";"Ensemble de modifications"
"Options";"Options"
"Deprecated";"Discontinué"
"Restore";"Rétablir"
"Restore This Revision";"Rétablir cette révision"
"No history of changes";"Aucun historique de modifications"
"Are you sure you want to restore this revision?";"Êtes-vous surs de vouloir rétablir cette révision?"
"Any changes made since this revision will be canceled.";"Tous les changements effectués depuis cette révision seront annulés."
"Error:";"Erreur :"
"Unable to revert to the revision.";"Impossible de rétablir la révision."
"No Template Options.";"Aucune option de gabarit."
"Loading…";"Chargement en cours…"
"Loading Widget…";"Chargement du widget…"
"Errors:";"Erreurs :"
"No ""{{ objType }}"" objects found.";"Aucun objet de type ""{{ objType }}"" n'existe."
"Add New Object";"Ajouter un nouvel objet"
"Page: {{ page }} / {{ numPages }} ({{ numTotal }} in total)";"Page: {{ page }} / {{ numPages }} ({{ numTotal }} au total)"
"{{ numTotal }} in total";"{{ numTotal }} au total"
"Actions";"Actions"
"Authentication Failed";"L'authentication a échoué"
"You have logged in successfully.";"Votre connexion a bien été établie."
"An error occurred while logging in";"Une erreur est survenue lors de la connexion"
"{{ errorMessage }}: {{ errorThrown }}";"{{ errorMessage }} : {{ errorThrown }}"
"Invalid username or password";"Nom d'utilisateur ou mot de passe invalide"
"You are now logged out.";"Votre déconnexion a bien été effectuée."
"An error occurred while logging out";"Une erreur est survenue lors de la déconnexion"
"Missing username.";"Nom d'utilisateur manquant."
"Missing CAPTCHA response.";"Réponse CAPTCHA manquante."
"Invalid or malformed CAPTCHA response.";"Réponse CAPTCHA invalide ou malformé."
"If a registered user matches the username or email address given, instructions to reset your password have been sent to the email address registered with that account.";"Si un utilisateur enregistré correspond au nom d'utilisateur ou à l'adresse e-mail indiquée, les instructions pour réinitialiser votre mot de passe ont été envoyées à l'adresse e-mail enregistrée avec ce compte."
"An error occurred while processing the password reset request.";"Une erreur s'est produite lors du traitement de la demande de réinitialisation de mot de passe."
"{{ siteName }} — Password Reset";"{{ siteName }} — Réinitialiser le mot de passe"
"Charcoal — Password Reset";"Charcoal — Réinitialiser le mot de passe"
"Missing reset token.";"Clé de réinitialisation manquante."
"Missing password";"Mot de passe manquant"
"Missing password confirmation";"Confirmation de mot de passe manquant"
"Passwords do not match";"Les mots de passe ne correspondent pas"
"An error occurred while processing the password change.";"Une erreur s'est produite lors du traitement du changement de mot de passe."
"Invalid or expired reset token.";"Clé de réinitialisation invalide ou expiré."
"Password has been successfully changed.";"Le mot de passe a été modifié avec succès."
"Failed to delete object";"Échec de la suppression de l'objet"
"Failed to remove object";"Échec de la suppression de l'objet"
"{{ parameter }} required";" must be a {{ expectedType }}";" received {{ actualType }}";"{{ parameter }} requis";" doit être de type {{ expectedType }}";" reçu {{ actualType }}"
"{{ parameter }} must be a {{ expectedType }}";" received {{ actualType }}";"{{ parameter }} doit être de type {{ expectedType }}";" reçu {{ actualType }}"
"No object found.";"Aucun objet trouvé."
"Object permanently deleted.";"Objet supprimé en permanence."
"Deleted Object: {{ objId }}";"Objet supprimé : {{ objId }}"
"Failed to export object(s)";"Échec de l'exportion de ou des objet(s)"
"Failed to load object(s)";"Échec de chargement des objets"
"No objects found.";"Aucun objet trouvé."
"One object found.";"Un objet trouvé."
"{{ count }} objects found.";"{{ count }} objets trouvés."
"Failed to sort object(s)";"Échec de tri des objets"
"Missing ""{{ propIdent }}"" property for sorting on {{ objType }}";"Propriété “{{ propIdent }}“ manquante pour le tri sur {{ objType }}"
"Object has been successfully updated.";"Objet a été mis à jour avec succès."
"Objects have been successfully reordered.";"Les objets ont été triés avec succès."
"Failed to restore revision";"Échec de la restauration de la révision"
"Object has been successfully restored to revision from {{ revisionDate }}";"Objet restauré";" avec succès";" à la révision de {{ revisionDate }}"
"Restored Revision: {{ revisionNum }}";"Révision restaurée : {{ revisionNum }}"
"Reverted Object: {{ objId }}";"Objet rétabli : {{ objId }}"
"Failed to create object";"Échec de la création de l'objet"
"Invalid Data";"Données invalides"
"Object has been successfully created.";"Objet a été créé avec succès."
"Created Object: {{ objId }}";"Objet créé : {{ objId }}"
"Failed to update object";"Échec de la mise à jour de l'objet"
"Updated Object: {{ objId }}";"Objet mis à jour : {{ objId }}"
"Failed to reload widget";"Échec de rechargement du widget"
"Failed to load widget";"Échec de chargement du widget"
"Widget Reloaded";"Widget rechargé"
"Widget Loaded";"Widget chargé"
"Failed to load quick edit";"Échec de chargement de la modification rapide"
"Widgets Loaded";"Widgets chargés"
"— None —";"— Aucun —"
"File Manager";"Gestionnaire de fichiers"
"Media Library";"Bibliothèque de médias"
"Choose File…";"Choisissez un fichier…"
"Remove File";"Retirer le fichier"
"Choose Image…";"Choisissez une image…"
"Remove Image";"Retirer l’image"
"Library";"Librairie"
"Support";"Support"
"The ""{{ objType }}"" table has been created.";"La table ""{{ objType }}"" a été créée."
"Collection: {{ objType }}";"Collection : {{ objType }}"
"Edit: {{ objType }} #{{ id }}";"Modifier : {{ objType }} #{{ id }}"
"Create: {{ objType }}";"Créer : {{ objType }}"
"Administrators";"Administrateurs"
"Save";"Sauvegarder"
"Map";"Carte"
"Update";"Mettre à jour"
"Success";"Succès"
"Notice";"Notice"
"Information";"Information"
"Attention";"Attention"
"Confirmation";"Confirmation"
"Unknown Error";"Erreur inconnue"
"An error occurred";"Une erreur est survenue"
"Objects list navigation";"Navigation de la liste des objects"
"Dismiss this notice.";"Fermer cette notice."
"Dismiss Errors";"Ignorer les erreurs"
"Dismiss";"Fermer"
"Are you sure you want to do this?";"Voulez-vous vraiment effectuer cette action?"
"This operation cannot be undone.";"Cette opération est irréversible."
"Yes";"Oui"
"No";"Non"
"Quick Create";"Création Rapide"
"Quick Edit";"Édition Rapide"
